TAZ_REG,TAZ_OLD05,TAZ_MPO,COUNTY,CENSUSTAZ,TAZ_BF,FIX,AREA,F_NETAREA,CBD,HM_ROOMS
1559,1559,1559,1,,0,0,190372.00000000000,0.72340,1,0
1562,1562,1562,1,,0,0,192300.00000000000,0.72810,1,0
1561,1561,1561,1,,0,0,205404.00000000000,0.66240,1,0
1112,1112,1112,1,,0,0,738144.00000000000,0.70790,1,0
1563,1563,1563,1,,0,0,1165690.00000000000,0.80050,1,0
199,199,199,1,,0,0,749867.00000000000,0.81040,1,0
1258,1258,1258,1,,0,0,556162.00000000000,0.69270,1,0
1259,1259,1259,1,,0,0,608754.00000000000,0.72040,1,0
200,200,200,1,,0,0,186566.00000000000,0.73130,1,0
1260,1260,1260,1,,0,0,197001.00000000000,0.64530,1,0
1261,1261,1261,1,,0,0,183574.00000000000,0.63010,1,0
1262,1262,1262,1,,0,0,165951.00000000000,0.72440,1,0
1263,1263,1263,1,,0,0,211326.00000000000,0.64000,1,0
1264,1264,1264,1,,0,0,152264.00000000000,0.70700,1,0
1265,1265,1265,1,,0,0,138809.00000000000,0.68620,1,0
1267,1267,1267,1,,0,0,143322.00000000000,0.66420,1,0
1266,1266,1266,1,,0,0,236858.00000000000,0.61180,1,0
1269,1269,1269,1,,0,0,188394.00000000000,0.37600,1,0
1268,1268,1268,1,,0,0,159885.00000000000,0.37620,1,0
201,201,201,1,,0,0,484246.00000000000,0.73670,1,0
1271,1271,1271,1,,0,0,130320.00000000000,0.69220,1,0
1272,1272,1272,1,,0,0,139850.00000000000,0.69690,1,0
1679,1679,1679,1,,0,0,3057010.00000000000,0.83780,0,0
1677,1677,1677,1,,0,0,3472520.00000000000,0.85260,0,0
1615,1615,1615,1,,0,0,11195200.00000000000,0.94120,0,0
1678,1678,1678,1,,0,0,1848530.00000000000,0.73270,0,0
1484,1484,1484,1,,0,0,2399600.00000000000,0.71020,0,0
1483,1483,1483,1,,0,0,1189330.00000000000,0.81750,0,0
1285,1285,1285,1,,0,0,1829420.00000000000,0.89900,0,0
212,212,212,1,,0,0,1854030.00000000000,0.82520,0,0
1273,1273,1273,1,,0,0,139929.00000000000,0.53280,1,0
1274,1274,1274,1,,0,0,150806.00000000000,0.49640,1,0
202,202,202,1,,0,0,1010960.00000000000,0.74470,0,0
1281,1281,1281,1,,0,0,380032.00000000000,0.63780,0,0
1284,1284,1284,1,,0,0,1460150.00000000000,0.81080,0,0
1283,1283,1283,1,,0,0,2140850.00000000000,0.61740,0,0
1282,1282,1282,1,,0,0,1759590.00000000000,0.78590,0,0
1280,1280,1280,1,,0,0,4232030.00000000000,0.90630,0,0
209,209,209,1,,0,0,2526310.00000000000,0.83110,0,0
908,908,908,1,,0,0,1433270.00000000000,0.64030,0,133
1276,1276,1276,1,,0,0,158756.00000000000,0.60290,1,0
1277,1277,1277,1,,0,0,1090820.00000000000,0.74490,0,0
1278,1278,1278,1,,0,0,1716770.00000000000,0.61290,0,0
203,203,203,1,,0,0,643277.00000000000,0.64870,0,0
1525,1525,1525,1,,0,0,1911630.00000000000,0.92110,0,0
911,911,911,1,,0,0,3690490.00000000000,0.77370,0,0
1693,1693,1693,1,,0,0,1912510.00000000000,0.87080,0,0
1694,1694,1694,1,,0,0,11896100.00000000000,0.92140,0,0
1695,1695,1695,1,,0,0,7640790.00000000000,0.91080,0,0
1692,1692,1692,1,,0,0,3464210.00000000000,0.89860,0,0
1691,1691,1691,1,,0,0,7623780.00000000000,0.87050,0,0
1697,1697,1697,1,,0,0,9837860.00000000000,0.79030,0,0
1619,1619,1619,1,,0,0,2611580.00000000000,0.81100,0,0
1698,1698,1698,1,,0,0,4958990.00000000000,0.73830,0,0
1696,1696,1696,1,,0,0,71491500.00000000000,0.94950,0,0
1287,1287,1287,1,,0,0,2227720.00000000000,0.83660,0,0
1286,1286,1286,1,,0,0,3187110.00000000000,0.75120,0,0
213,213,213,1,,0,0,7801340.00000000000,0.77600,0,0
1688,1688,1688,1,,0,0,1996100.00000000000,0.87100,0,0
1689,1689,1689,1,,0,0,5468240.00000000000,0.84510,0,0
1687,1687,1687,1,,0,0,2070430.00000000000,0.63180,0,0
1686,1686,1686,1,,0,0,1258860.00000000000,0.54990,0,0
1685,1685,1685,1,,0,0,10080700.00000000000,0.88620,0,0
1690,1690,1690,1,,0,0,1898150.00000000000,0.59300,0,0
1684,1684,1684,1,,0,0,3048640.00000000000,0.82320,0,0
1683,1683,1683,1,,0,0,3273460.00000000000,0.77620,0,122
1618,1618,1618,1,,0,0,49709300.00000000000,0.79910,0,0
1676,1676,1676,1,,0,0,2823810.00000000000,0.80580,0,0
1614,1614,1614,1,,0,0,7041530.00000000000,0.72710,0,48
1613,1613,1613,1,,0,0,7373340.00000000000,0.77920,0,0
1671,1671,1671,1,,0,0,3024960.00000000000,0.81290,0,0
1672,1672,1672,1,,0,0,17233300.00000000000,0.96960,0,0
1673,1673,1673,1,,0,0,6969510.00000000000,0.75400,0,0
1674,1674,1674,1,,0,0,34053700.00000000000,0.91780,0,0
1675,1675,1675,1,,0,0,80594300.00000000000,0.92100,0,0
