"ID","Longitude","Latitude","TAZ_REG","TAZ_OLD05","TAZ_MPO","COUNTY","CENSUSTAZ","TAZ_BF","FIX","AREA","F_NETAREA","CBD","HM_ROOMS","AirSageDistrict"
2884,-80291984,25641452,4036.000000,0,1136,3.000000,"1208600001136",3936,0,24065800.00000000000,0.746400,0,0,7
2885,-80296385,25633753,4037.000000,0,1137,3.000000,"1208600001137",3937,0,7633690.00000000000,0.820000,0,0,7
2886,-80299547,25620613,4038.000000,0,1138,3.000000,"1208600001138",3938,0,22984800.00000000000,0.753900,0,0,9
2887,-80311530,25605132,4039.000000,0,1139,3.000000,"1208600001139",3939,0,5499060.00000000000,0.531900,0,0,9
2888,-80201778,25935587,3014.000000,0,114,3.000000,"1208600000114",2914,0,10435900.00000000000,0.844500,0,0,3
2889,-80321196,25604876,4040.000000,0,1140,3.000000,"1208600001140",3940,0,18518700.00000000000,0.801900,0,0,9
2890,-80329913,25607779,4041.000000,0,1141,3.000000,"1208600001141",3941,0,7316010.00000000000,0.826300,0,0,9
2891,-80336477,25606681,4042.000000,0,1142,3.000000,"1208600001142",3942,0,14664800.00000000000,0.790300,0,0,9
2892,-80344005,25606472,4043.000000,0,1143,3.000000,"1208600001143",3943,0,13346300.00000000000,0.781500,0,0,9
2893,-80351129,25602394,4044.000000,0,1144,3.000000,"1208600001144",3944,0,2778920.00000000000,0.615000,0,0,9
2894,-80349875,25607312,4045.000000,0,1145,3.000000,"1208600001145",3945,0,2501240.00000000000,0.617600,0,0,9
2895,-80338327,25618870,4046.000000,0,1146,3.000000,"1208600001146",3946,0,12453900.00000000000,0.795300,0,0,9
2896,-80338371,25623568,4047.000000,0,1147,3.000000,"1208600001147",3947,0,9575170.00000000000,0.799200,0,0,9
2897,-80337074,25635128,4048.000000,0,1148,3.000000,"1208600001148",3948,0,6975460.00000000000,0.756100,0,78,7
2898,-80330656,25640225,4049.000000,0,1149,3.000000,"1208600001149",3949,0,7680060.00000000000,0.780300,0,0,7
2899,-80213779,25935877,3015.000000,0,115,3.000000,"1208600000115",2915,0,9226210.00000000000,0.750100,0,0,3
2900,-80330185,25651412,4050.000000,0,1150,3.000000,"1208600001150",3950,0,8456370.00000000000,0.689500,0,0,7
2901,-80322104,25651673,4051.000000,0,1151,3.000000,"1208600001151",3951,0,14600700.00000000000,0.781800,0,0,7
2902,-80321724,25640485,4052.000000,0,1152,3.000000,"1208600001152",3952,0,7263930.00000000000,0.774000,0,0,7
2903,-80321454,25633114,4053.000000,0,1153,3.000000,"1208600001153",3953,0,7135620.00000000000,0.525900,0,0,7
2904,-80329671,25632879,4054.000000,0,1154,3.000000,"1208600001154",3954,0,7233660.00000000000,0.773400,0,0,7
2905,-80329071,25621915,4055.000000,0,1155,3.000000,"1208600001155",3955,0,13204000.00000000000,0.787500,0,0,9
2906,-80321153,25622071,4056.000000,0,1156,3.000000,"1208600001156",3956,0,13806200.00000000000,0.818200,0,0,9
2907,-80322340,25611860,4057.000000,0,1157,3.000000,"1208600001157",3957,0,6896800.00000000000,0.790500,0,0,9
2908,-80314251,25612363,4058.000000,0,1158,3.000000,"1208600001158",3958,0,4217480.00000000000,0.762500,0,0,9
2909,-80314060,25622239,4059.000000,0,1159,3.000000,"1208600001159",3959,0,11297500.00000000000,0.787700,0,0,9
2910,-80213532,25940428,3016.000000,0,116,3.000000,"1208600000116",2916,0,6650200.00000000000,0.769200,0,0,3
2911,-80309706,25637161,4060.000000,0,1160,3.000000,"1208600001160",3960,0,16537400.00000000000,0.795300,0,0,7
2912,-80306075,25637232,4061.000000,0,1161,3.000000,"1208600001161",3961,0,12144200.00000000000,0.810200,0,0,7
2913,-80309940,25651995,4062.000000,0,1162,3.000000,"1208600001162",3962,0,29027000.00000000000,0.802100,0,0,7
